FundamentalTime,FundamentalValue
2020-08-28 10:14:31.764482008,101129.0
2020-08-28 10:14:39.204981458,101091.0
2020-08-28 10:14:40.916620072,101107.0
2020-08-28 10:14:47.051016035,101021.0
2020-08-28 10:14:50.613744584,101074.0
2020-08-28 10:14:54.092284441,100976.0
2020-08-28 10:14:55.134078590,100973.0
2020-08-28 10:15:03.567650735,100859.0
2020-08-28 10:15:05.336112784,100851.0
2020-08-28 10:15:09.344408222,100897.0
2020-08-28 10:15:10.258073701,100886.0
2020-08-28 10:15:15.802767252,100905.0
2020-08-28 10:15:16.919026676,100924.0
2020-08-28 10:15:21.696789326,100902.0
2020-08-28 10:15:24.584655181,100908.0
2020-08-28 10:15:24.693676703,100910.0
2020-08-28 10:15:25.025717489,100906.0
2020-08-28 10:15:25.257807748,100910.0
2020-08-28 10:15:27.857005426,100854.0
2020-08-28 10:15:30.147820727,100861.0
2020-08-28 10:15:33.326959925,100851.0
2020-08-28 10:15:34.456769930,100847.0
2020-08-28 10:15:41.797462731,100815.0
2020-08-28 10:15:44.502289883,100820.0
2020-08-28 10:15:46.980093820,100877.0
2020-08-28 10:15:48.825934973,100871.0
2020-08-28 10:16:05.495691517,100970.0
2020-08-28 10:16:06.183727072,100967.0
2020-08-28 10:16:09.901602198,100957.0
2020-08-28 10:16:12.361503996,100941.0
2020-08-28 10:16:17.663154857,100890.0
2020-08-28 10:16:17.930571028,100891.0
2020-08-28 10:16:21.576364162,100895.0
2020-08-28 10:16:29.220605818,100844.0
2020-08-28 10:16:30.904339946,100827.0
2020-08-28 10:16:31.122538780,100823.0
2020-08-28 10:16:32.476419424,100802.0
2020-08-28 10:16:33.744348148,100808.0
2020-08-28 10:16:36.311797768,100808.0
2020-08-28 10:16:40.204266990,100770.0
2020-08-28 10:16:40.799690555,100771.0
2020-08-28 10:16:46.929290051,100770.0
2020-08-28 10:16:47.890382391,100756.0
2020-08-28 10:16:49.955272394,100770.0
2020-08-28 10:16:51.338070758,100784.0
2020-08-28 10:16:58.565042058,100739.0
2020-08-28 10:17:05.108931032,100693.0
2020-08-28 10:17:06.727218126,100678.0
2020-08-28 10:17:13.491199146,100702.0
2020-08-28 10:17:14.072191334,100700.0
2020-08-28 10:17:17.443815882,100711.0
2020-08-28 10:17:30.268472042,100674.0
2020-08-28 10:17:31.986173303,100689.0
2020-08-28 10:17:32.304483970,100691.0
2020-08-28 10:17:35.194182776,100726.0
2020-08-28 10:17:36.609352236,100735.0
2020-08-28 10:17:38.022435375,100744.0
2020-08-28 10:17:38.736852433,100737.0
2020-08-28 10:17:50.545856224,100801.0
2020-08-28 10:17:55.078317533,100837.0
2020-08-28 10:17:55.129097587,100837.0
2020-08-28 10:17:57.247555964,100832.0
2020-08-28 10:18:00.373773139,100830.0
2020-08-28 10:18:05.952344358,100900.0
2020-08-28 10:18:06.727191720,100902.0
2020-08-28 10:18:07.384094703,100904.0
2020-08-28 10:18:15.334277965,100881.0
2020-08-28 10:18:19.542763675,100852.0
2020-08-28 10:18:25.090680554,100848.0
2020-08-28 10:18:26.915457300,100838.0
2020-08-28 10:18:29.276255974,100797.0
2020-08-28 10:18:35.589922895,100771.0
2020-08-28 10:18:37.127362531,100766.0
2020-08-28 10:18:38.549173683,100773.0
2020-08-28 10:18:40.907737356,100775.0
2020-08-28 10:18:41.990305249,100783.0
2020-08-28 10:18:42.346154649,100787.0
2020-08-28 10:18:42.711418551,100786.0
2020-08-28 10:18:42.953406846,100784.0
2020-08-28 10:18:43.889990424,100782.0
2020-08-28 10:18:44.905085080,100789.0
2020-08-28 10:18:46.425024611,100776.0
2020-08-28 10:18:47.546318978,100777.0
2020-08-28 10:18:50.974075848,100760.0
2020-08-28 10:18:52.142031161,100745.0
2020-08-28 10:18:55.505828467,100758.0
2020-08-28 10:18:56.641466466,100755.0
2020-08-28 10:19:03.652393307,100765.0
2020-08-28 10:19:04.217856061,100778.0
2020-08-28 10:19:04.450115699,100777.0
2020-08-28 10:19:10.860403581,100795.0
2020-08-28 10:19:15.129831702,100803.0
2020-08-28 10:19:17.832726611,100806.0
2020-08-28 10:19:19.400964760,100789.0
2020-08-28 10:19:20.377734024,100789.0
2020-08-28 10:19:21.179851965,100786.0
2020-08-28 10:19:23.716053865,100783.0
2020-08-28 10:19:24.084842356,100783.0
2020-08-28 10:19:26.633907648,100794.0
2020-08-28 10:19:31.066008903,100807.0
2020-08-28 10:19:31.077591633,100807.0
2020-08-28 10:19:33.757651356,100781.0
2020-08-28 10:19:40.219384750,100767.0
2020-08-28 10:19:43.420404983,100737.0
2020-08-28 10:19:52.422624097,100655.0
2020-08-28 10:20:03.436958808,100631.0
2020-08-28 10:20:09.946211679,100616.0
2020-08-28 10:20:11.630936911,100594.0
2020-08-28 10:20:12.468257732,100591.0
2020-08-28 10:20:14.570233164,100608.0
2020-08-28 10:20:16.251828438,100593.0
2020-08-28 10:20:19.012809203,100577.0
2020-08-28 10:20:21.570052788,100577.0
2020-08-28 10:20:24.744564911,100541.0
2020-08-28 10:20:34.272719140,100555.0
2020-08-28 10:20:34.687109145,100552.0
2020-08-28 10:20:35.411828338,100548.0
2020-08-28 10:20:37.465713721,100570.0
2020-08-28 10:20:37.557968722,100571.0
2020-08-28 10:20:39.533816749,100590.0
2020-08-28 10:20:44.651156108,100568.0
2020-08-28 10:20:44.768734307,100570.0
2020-08-28 10:20:50.517468935,100553.0
2020-08-28 10:20:51.203160273,100554.0
2020-08-28 10:20:56.435306153,100600.0
2020-08-28 10:20:57.677284454,100611.0
2020-08-28 10:20:58.848803624,100619.0
2020-08-28 10:21:04.438358245,100605.0
2020-08-28 10:21:09.292178045,100596.0
2020-08-28 10:21:09.720371631,100601.0
2020-08-28 10:21:13.932410920,100591.0
2020-08-28 10:21:15.342072358,100596.0
2020-08-28 10:21:17.803079330,100619.0
2020-08-28 10:21:18.476562865,100616.0
2020-08-28 10:21:20.034741608,100601.0
2020-08-28 10:21:22.793288946,100590.0
2020-08-28 10:21:24.238846380,100631.0
2020-08-28 10:21:25.697622573,100614.0
2020-08-28 10:21:31.978710264,100608.0
2020-08-28 10:21:33.474297847,100597.0
2020-08-28 10:21:35.465987413,100628.0
2020-08-28 10:21:37.350689102,100641.0
2020-08-28 10:21:38.538244942,100634.0
2020-08-28 10:21:38.615397341,100635.0
2020-08-28 10:21:39.422259302,100633.0
2020-08-28 10:21:42.242346243,100637.0
2020-08-28 10:21:46.235491530,100611.0
2020-08-28 10:21:53.502221101,100518.0
2020-08-28 10:21:59.457367396,100562.0
2020-08-28 10:22:10.460852384,100456.0
2020-08-28 10:22:10.548085857,100456.0
2020-08-28 10:22:13.845071723,100404.0
2020-08-28 10:22:15.464126171,100381.0
2020-08-28 10:22:16.194787817,100388.0
2020-08-28 10:22:16.449000403,100386.0
2020-08-28 10:22:20.284745403,100386.0
